Produto , link pagamento , link afiliado , comissão (%) 
Python para Biocientistas: Aprenda Programação:  Análise de Dados e Bioinformática do Zero no Google Colab ,https://landinpage-python-para-cientistas.vercel.app/, https://dashboard.kiwify.com/join/affiliate/aTE2E4Lp ,50
BNCC Computação Sem Computadores + 100 Atividades Práticas de Computação Desplugada para Educação Infantil e Ensino Fundamental,https://land-page-computacao.vercel.app/,https://dashboard.kiwify.com/join/affiliate/KybrgagB,30
Hugo Profissional: Do Zero ao Site de Alta Performance,https://hugo-landing-page.vercel.app/,https://dashboard.kiwify.com/join/affiliate/Q8iUw8Pm,50
|Como Prosperar em Meio a Irmãos Invejosos || Lições de José Para Vencer e Prosperar|,https://como-prosperar.vercel.app/,https://dashboard.kiwify.com/join/affiliate/MKVCSAv2,30
Colorindo Histórias da Bíblia,https://colorindo-historias-biblia.vercel.app/,https://dashboard.kiwify.com/join/affiliate/BpGIQNyF,50
Domine o ChatGPT e o NotebookLM para Passar em Concursos,https://pense-como-hacker-landing.vercel.app/,https://dashboard.kiwify.com/join/affiliate/yHkwGB20,30
Curso Do Zero à Automação com Python,https://curso-automacao-python.vercel.app/,https://affiliate.hotmart.com/affiliate-recruiting/view/5083C105745717,10 a 30
Ebook programando Python com Google Colab,https://langing-ebook-colab.vercel.app/,,
Kit dois ebooks,https://kit-ebooks-python.vercel.app/,,
Jovem Cristão e decidido,https://jovem-cristao-decidido-ebook.vercel.app/,,
outros links,,,
https://www.instagram.com/prof.elizeu.bio/,,,
https://www.youtube.com/@profelizeubio,,,
https://sofagospel.blogspot.com/,,,
https://github.com/elizeubarbosaabreu,,,
